釜山行2：半岛, 动作 / 惊悚 ,2020-07-15
我在世界城等你, 短片 ,2016-05-16
恐怖电影院2, 恐怖 / 惊悚 ,2017-10-20
何以为家, 剧情 ,2020-07-24
白蛇：缘起, 爱情 / 动画 / 奇幻 ,2020-07-20
当幸福来敲门, 剧情 / 家庭 / 传记 ,2020-07-20
战狼2, 动作 / 战争 ,2020-07-20
乔乔的异想世界, 剧情 / 喜剧 / 战争 ,2020-07-31
第一次的离别, 剧情 / 家庭 ,2020-07-20
大鱼海棠, 剧情 / 动画 / 奇幻 ,2020-07-20
釜山行, 动作 / 惊悚 / 灾难 ,2016-07-20
疯狂动物城, 动画 / 动作 / 冒险 ,2020-07-24
少年的你, 爱情 / 青春 / 剧情 ,2019-10-25
数码宝贝大冒险：最后的进化・羁绊, 动画 / 冒险 ,2020-02-21
刺猬索尼克, 动画 / 冒险 / 喜剧 ,2020-07-31
寻梦环游记, 动画 / 冒险 / 家庭 ,2020-07-20
喋血战士, 动作 / 科幻 ,2020-07-24
哪吒之魔童降世, 动画 / 喜剧 / 奇幻 ,2020-07-20
风声, 惊悚 / 剧情 / 犯罪 ,2020-07-20
最美逆行, 剧情 ,2020-06-28
多力特的奇幻冒险, 剧情 / 奇幻 / 冒险 ,2020-07-24
大话西游之大圣娶亲, 喜剧 / 爱情 / 奇幻 / 古装 ,2020-07-24
妙先生, 动画 / 奇幻 / 冒险 ,2020-07-31
误杀, 剧情 / 犯罪 ,2020-07-20
抵达之谜, 剧情 / 爱情 / 青春 ,2020-07-31
活着, 动作 / 惊悚 / 灾难 ,2020-06-24
唐人街探案2, 喜剧 / 动作 / 悬疑 ,2018-02-16
天气之子, 爱情 / 动画 / 奇幻 ,2019-11-01
哥斯拉2：怪兽之王, 科幻 / 灾难 / 动作 ,2019-05-31
星际穿越, 剧情 / 科幻 / 冒险 ,2020-08-02
